category,datetime,headline,id,image,related,source,summary,url,date
company,1730850828,Artificial Intelligence Will Be Key Focus Area For President-Elect Trump,131120192,,TSLA,DowJones,Artificial Intelligence Will Be Key Focus Area For President-Elect Trump,https://finnhub.io/api/news?id=3cd71b75415466c6a218c75627afeea4aed6a14d5ed7cab3811dcf4e4341aa9c,2024-11-05
company,1730848980,Why Tesla Stock Can Ride Even Higher After Q3 Earnings,131100158,https://media.zenfs.com/en/zacks.com/133e051145ec16449731bc3134121f09,TSLA,Yahoo,Tesla (TSLA) shares have soared nearly +20% since its Q3 report in late October and the rally could continue.,https://finnhub.io/api/news?id=88e23bdb86a80479234ffcdc60a8b2a5759780fe6a64ff2542c67114200b306f,2024-11-05
company,1730847660,Tesla’s stock is soaring on Trump’s win. Here’s why Wall Street is so upbeat.,131109054,,TSLA,MarketWatch,Tesla’s stock is soaring on Trump’s win. Here’s why Wall Street is so upbeat.,https://finnhub.io/api/news?id=264d256bae231af77f343ce5657565e3066e0ae00efde62706d994693b25b5e2,2024-11-05
company,1730847101,Will Elon Musk's 'big bet' on Trump pay off for him and Tesla?,131100162,https://s.yimg.com/ny/api/res/1.2/iKSCvgvRXFykxcbFqTVSjA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2024-10/6f8c1a10-9bc5-11ef-bbf6-46b30bffbdc6,TSLA,Yahoo,"Billionaire Tesla (TSLA) CEO Elon Musk has been vocal in his support for former President Donald Trump's election campaign. Intelligent Alpha CEO and founder and Deepwater Asset Management managing partner Doug Clinton sits down with Josh Lipton on Market Domination Overtime to discuss what the election outcome means for Musk and how his political involvement affects investors. ""It will be a very interesting night for Elon Musk,"" Clinton says, adding, ""He's obviously made a really big bet on the election going one direction. And I think if it goes against him if Kamala Harris is elected president, I think it probably is a negative for him."" He notes that Tesla could stand to benefit from a Harris presidency, given she could provide further tax incentives for electric vehicles as part of a green energy push. Clinton says that Musk will likely ""find some way to try to mend fences and say, 'Look, obviously, it didn't go the way that we were campaigning, but we have this agenda that actually does very much align with some of the principles of the Democratic Party.' I mean, Elon probably has done more for bringing sustainable energy into the markets, kind of into the mass markets, really in the US and globally than maybe anybody else in the world."" As an investor in Musk's companies, Clinton says, ""We try to separate [Musk's companies from his politics]. At Deepwater, we are investors in xAI, and we're big believers that there's basically four companies on Earth that have a chance to build the foundation models that power sort of everything. It's Meta (META) with Llama, it's Google (GOOG, GOOGL) [with] Gemini, OpenAI with GPT, and then xAI with Grok. So that investment is really built, I think, more on just what can they do from a technical perspective."" To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime here. This post was written by Naomi Buchanan",https://finnhub.io/api/news?id=452183481563a2adf85317c49d8c20064f9b57c25a27aa9f1ff106adc9325e06,2024-11-05
company,1730846760,"These Stocks Are Moving the Most Today: DJT, Tesla, Wells Fargo, Coinbase, First Solar, CVS, Super Micro, Nvidia, Discover, and More",131108860,,TSLA,MarketWatch,"These Stocks Are Moving the Most Today: DJT, Tesla, Wells Fargo, Coinbase, First Solar, CVS, Super Micro, Nvidia, Discover, and More",https://finnhub.io/api/news?id=864bd94b9230affbd7152c57c309c4e5de980b34d6441314177ae4f7dfa7ceb3,2024-11-05
company,1730846700,Banks and Tesla lead list of top-performing stocks following Trump’s victory,131109056,,TSLA,MarketWatch,Banks and Tesla lead list of top-performing stocks following Trump’s victory,https://finnhub.io/api/news?id=3ccaf061499e22846368d2fda55d80db9208876cc4542d1d41aa9d1ece9c075a,2024-11-05
company,1730845938,Tesla Surges To 15-Month High On Election; Musk-Trump Alliance In Focus,131120395,,TSLA,DowJones,Tesla Surges To 15-Month High On Election; Musk-Trump Alliance In Focus,https://finnhub.io/api/news?id=2771179a56f72c29c5da5dd6140daad1449b690b9add9547a0ffbd8065f94f8b,2024-11-05
company,1730844060,"Here’s How Tech, Energy, Auto, and Bank Stocks Are Doing After Trump’s Election Win",131108830,,TSLA,MarketWatch,"Here’s How Tech, Energy, Auto, and Bank Stocks Are Doing After Trump’s Election Win",https://finnhub.io/api/news?id=877f2917481f8eff9fb853f0881d8674ed2c0478ddb3c550ac302296ec3647a6,2024-11-05
company,1730844000,"Large cryptocurrencies climb on Dogecoin, Solana increases",131108864,,TSLA,MarketWatch,"Large cryptocurrencies climb on Dogecoin, Solana increases",https://finnhub.io/api/news?id=a89ff17700879c74c40473ab2950dfad2dac38ec154dd174f9734e6e7564d7f1,2024-11-05
company,1730843493,"Dow Jones Surges 1,200 Points On Donald Trump Election Win; Tesla Soars To New Highs",131120222,,TSLA,DowJones,"Dow Jones Surges 1,200 Points On Donald Trump Election Win; Tesla Soars To New Highs",https://finnhub.io/api/news?id=7d6f5372c3db5805374ca8817c640fdef45bad750bb2d2039770bc2bab5ca3d4,2024-11-05
company,1730843400,Elon Musk Is Going to Washington. Why Tesla Stock Is Soaring.,131109059,,TSLA,MarketWatch,Elon Musk Is Going to Washington. Why Tesla Stock Is Soaring.,https://finnhub.io/api/news?id=84eb975de09e592f05e41e78bf5badd2b7eb5cce062de23c3ac8c5e7617bdee6,2024-11-05
company,1730842980,"Nvidia, Tesla, and the Other 8 Top Stocks in the S&P 500 Are Strikingly Expensive. Be Nervous.",131100164,,TSLA,Yahoo,"The valuations depend in part on the stocks’ ability to weather any near-term waves of inflation, rising bond yields, and other big-picture shifts.",https://finnhub.io/api/news?id=c8ca7f49093253ebe7f7d7730627993bcacf85a250ad9eb27843aa49503265dd,2024-11-05
company,1730842516,Robinhood's stock soars at open following surge in election contracts and overnight trading,131108865,,TSLA,MarketWatch,Robinhood's stock soars at open following surge in election contracts and overnight trading,https://finnhub.io/api/news?id=c5e904809aa2faaa447ef22cbd6a9293db6caea9be2895d96a774190ad846d98,2024-11-05
company,1730839140,Elon Musk Wins Big With Trump Bet,131120398,,TSLA,DowJones,Elon Musk Wins Big With Trump Bet,https://finnhub.io/api/news?id=ff3e1a0ee869464c2367a1fa2aa0d3a1d5e5b2275bfb766c7e137f67f16cabaa,2024-11-05
company,1730837589,Tracking Baillie Gifford's 13F Portfolio - Q3 2024 Update,131097686,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318776826/image_1318776826.jpg?io=getty-c-w1536,TSLA,SeekingAlpha,"Baillie Gifford's diverse $134B portfolio sees stake increases in high-growth companies like Shopify, Sea Ltd., and Microsoft.",https://finnhub.io/api/news?id=c96993a7b1d2b0fa30cb6bc70a29ec869fab1a199b89eea725d8f97e7d5205f4,2024-11-05
company,1730837329,"Donald Trump Wins Election: Dow Jones Futures Surge, Tesla Spikes, Bitcoin Hits High",131120226,,TSLA,DowJones,"Donald Trump Wins Election: Dow Jones Futures Surge, Tesla Spikes, Bitcoin Hits High",https://finnhub.io/api/news?id=2d161bdc0e80acc32cbcdeb2027724438d67005dff25dedfb94622f25c5db082,2024-11-05
company,1730835000,"S&P 500 Futures Climb in Premarket Trading; Trump Media & Tech, Globus Medical Lead",131109061,,TSLA,MarketWatch,"S&P 500 Futures Climb in Premarket Trading; Trump Media & Tech, Globus Medical Lead",https://finnhub.io/api/news?id=09644315247e2f62b1071ed83079cc1d32cf9182ac6dded39f78f4d065610256,2024-11-05
company,1730833680,"Stock Markets, Cryptos, Tesla, DJT Jumped. Trump’s Big Election Win Comes With These Risks and 5 Other Things to Know Today.",131108914,,TSLA,MarketWatch,"Stock Markets, Cryptos, Tesla, DJT Jumped. Trump’s Big Election Win Comes With These Risks and 5 Other Things to Know Today.",https://finnhub.io/api/news?id=ce4461b6a3ee6228320ae26066b412cbd1100bc39457b0e55abcfc73d7cefb1a,2024-11-05
company,1730832906,"Top Stock Movers Now: Trump Media, Tesla, Palantir, and More",131082994,https://www.investopedia.com/thmb/-tFby6iGL5NgfrWSF6qlaRXxDJE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-2182431318-2666c817d1da4f3ba2bd5f21c9961f9c.jpg,TSLA,Yahoo,Major U.S. indexes gained at midday Tuesday as investors awaited the results of the U.S. presidential election.,https://finnhub.io/api/news?id=c6669099926ef7245089baf96d26a1501473480a9c9e489ccdf1f78194c72c5d,2024-11-05
company,1730831488,Car Stocks Are Speeding Away. They Point to a Trump Win.,131082996,,TSLA,Yahoo,"Through midday trading, Tesla stock was leading the way up, with shares up 4.5% at $253.73 apiece.  Ford Motor and General Motors shares were up 2% and 2.9%, respectively.  Shares of parts supplier Aptiv were down 2.5%, falling for a fifth consecutive day.",https://finnhub.io/api/news?id=76f3595893016375945cf99000b82c79180e329e82a3b77455487699357dfdeb,2024-11-05
company,1730829231,Harris Makes Final Pitch as Trump Plays Down Fears of Violence,131082999,https://s.yimg.com/ny/api/res/1.2/1S7HoKVC06w85SxsOuFSYA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_markets_842/29362ec5ed79ddb9e2dc6d0a474f3bda,TSLA,Yahoo,"(Bloomberg) -- Vice President Kamala Harris made an Election Day push to win over Black voters while former President Donald Trump said there would be no violence from his supporters, as Americans streamed to the polls to cast their ballots in one of the tightest races in modern US history.Most Read from BloombergFrom Housing to Immigration, Key Ballot Initiatives and Local Races to FollowParis Restricts Through Traffic in City CenterIstanbul Tries Free Public Transit to Help Job SeekersIn Warsa",https://finnhub.io/api/news?id=4a3a3d154840a2302d54d101b8b6e867cfd69582c10246abe59c624dd8aa0913,2024-11-05
company,1730827921,Tesla Boosts Wages at German Plant Amid Auto Industry Cutbacks,131083005,https://media.zenfs.com/en/us.finance.gurufocus/542083594bce6bf52c297e28d497334b,TSLA,Yahoo,"Tesla Enhances Worker Pay in Germany, Bucking Broader Auto Sector Trends",https://finnhub.io/api/news?id=ce2c5bd22cb25ebf09f9996c14dcec9dbbff55ecc73cc42bad6d1c0cc73774ef,2024-11-05
company,1730826766,Elon Musk is sued over $1 million election giveaway,131094677,,TSLA,Finnhub,"Elon Musk was sued in a proposed class action on Tuesday by registered voters who signed his petition to support the Constitution for a chance to win his $1 million-a-day giveaway, and now claim it...",https://finnhub.io/api/news?id=165fc05fe491b0a11960ea876a09c383e1c44a18044fd758203f329d8af6cbfb,2024-11-05
company,1730824207,"Premarket movers: DJT, MicroStrategy, Tesla surge while renewable stocks slump",131109063,,TSLA,MarketWatch,"Premarket movers: DJT, MicroStrategy, Tesla surge while renewable stocks slump",https://finnhub.io/api/news?id=0f610a1491ffc09b517cac02cbedcea4176b58bdd0df6a5e3d0b05b99cb364ea,2024-11-05
